descripcion	canntidad	valor	fecha							
POPETAS MIX CA   	1	2100	13/04/2025							
GOMAS TRULULU    	1	2000	13/04/2025							
VASO ALOHA KOL   	1	4000	13/04/2025							
VASO ALOHA KOL   	1	4000	13/04/2025							
COCA COLA 1.5    	1	5700	13/04/2025							
GASEOSA COLOMB   	1	5000	13/04/2025							
AZUCAR MANUELI   	1	2600	13/04/2025							
SH PANTENE RES   	1	1000	13/04/2025							
GEL EGO ATRACT   	1	3300	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
AGUA PURA CON    	2	3500	13/04/2025							
AGUILA LATA X    	1	3250	13/04/2025							
PONQUE TRADI S   	1	8300	13/04/2025							
COCA COLA 3 LI   	1	8900	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
POPETAS FAMILI   	1	4200	13/04/2025							
NATUCHIPS MADU   	1	6800	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
ALIM GATOS DON   	1	6400	13/04/2025							
LECHE COORA DE   	1	4850	13/04/2025							
VELA PEBETERO    	1	7350	13/04/2025							
ALIM GATOS DON   	1	6250	13/04/2025							
BUDWEISER LATA   	1	13250	13/04/2025							
ALIM GATOS DON   	1	6400	13/04/2025							
CHOCOLATE GIRO   	1	9100	13/04/2025							
CHOCOLATE GIRO   	1	9100	13/04/2025							
ALIM GATOS DON   	1	6400	13/04/2025							
GALLETA SALTIN   	1	8250	13/04/2025							
WAFER NUCITA I   	1	4950	13/04/2025							
GALLETA CLUB S   	1	6500	13/04/2025							
PANELA PASTILL   	1	5500	13/04/2025							
AGUA SAVILOE X   	1	2500	13/04/2025							
AREPA PAISA OB   	1	2300	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
SPAGHETTI DORI   	1	6850	13/04/2025							
PASTA CABELLO    	1	2200	13/04/2025							
PASTA CABELLO    	1	2200	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
PAPA POLLO MAR   	1	6400	13/04/2025							
ACEITE RIQUISI   	1	9600	13/04/2025							
CEREAL KARYMBA   	1	3350	13/04/2025							
MAYONESA COMAP   	1	1650	13/04/2025							
MAYONESA COMAP   	1	1650	13/04/2025							
LECHE COORA EN   	1	3450	13/04/2025							
NATUMALTA BOTE   	1	3700	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
HELADO CHOCOLI   	1	2000	13/04/2025							
BOLSA PARA EMP   	1	300	13/04/2025							
PAN SUPER HAMB   	1	5800	13/04/2025							
TODO RICO B.Q    	1	2800	13/04/2025							
CHOCOLATINA JE   	1	3200	13/04/2025							
COCA COLA 400    	1	2500	13/04/2025							
AGUA CRISTAL X   	1	1200	13/04/2025							
HAMBURGUESA X    	1	11250	13/04/2025							
PAN BIMBO ARTE   	1	7000	13/04/2025							
MANI ESPECIAL    	1	2000	13/04/2025							
HUEVO EXTRA X    	1	16700	13/04/2025							
CHOCOBREAK REL   	1	6600	13/04/2025							
PONQUE BIMBOLE   	1	1900	13/04/2025							
GALLETA WAFER    	1	1200	13/04/2025							
PH FAMILIA FAM   	1	1300	13/04/2025							
HUEVO X 15 UND   	1	8400	13/04/2025							
PAN BLANCO X 3   	1	4800	13/04/2025							
2 FUSE LIMON N   	1	6900	13/04/2025							
MR TEA LIMON 1   	1	4900	13/04/2025							
CHOCO KRISPIS    	1	5450	13/04/2025							
JAMON PIETRAN    	1	5500	13/04/2025							
QUESO BLANCO X   	1	4100	13/04/2025							
ARROZ ROA KILO   	1	4600	13/04/2025							
LECHE ALQUERIA   	1	7200	13/04/2025							
PH FAMILIA MEG   	1	2200	13/04/2025							
PH FAMILIA MEG   	1	2200	13/04/2025							
PONQUE CHOCOSO   	1	2200	13/04/2025							
PONQUE BIMBO V   	1	1800	13/04/2025							
AZUCAR MANUELI   	1	2600	13/04/2025							
SALCHICHA PERR   	1	4200	13/04/2025							
JUGO HIT SURTI   	1	6900	13/04/2025							
PANELA PASTILL   	1	2750	13/04/2025							
RANCHERA 5 PAC   	1	5900	13/04/2025							
VINAGRE COORA    	1	2000	13/04/2025							
PONQUE SUBMARI   	1	1350	13/04/2025							
PONQUE SUBMARI   	1	1350	13/04/2025							
SUBMARINO PONQ   	1	1650	13/04/2025							
SUBMARINO PONQ   	1	1650	13/04/2025							
